[GIN] 2025/07/25 - 10:28:30 | 404 |    1.070294ms |       127.0.0.1 | GET      "/api/v1/products/999999"
[GIN] 2025/07/25 - 10:28:30 | 404 |    1.283374ms |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/07/25 - 10:28:30 | 400 |    1.512506ms |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/07/25 - 10:28:30 | 400 |    1.399397ms |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/07/25 - 10:28:30 | 201 |  151.907832ms |       127.0.0.1 | POST     "/api/v1/products/batch"
[GIN] 2025/07/25 - 10:28:31 | 201 |  275.387613ms |       127.0.0.1 | POST     "/api/v1/offers/batch"
[GIN] 2025/07/25 - 10:28:31 | 200 |    1.369338ms |       127.0.0.1 | GET      "/api/v1/offers/wb_stock?product_id=272&warehouse_id=122&supplier_id=42009"
[GIN] 2025/07/25 - 10:28:31 | 200 |     1.31758ms |       127.0.0.1 | GET      "/api/v1/offers/227"
[GIN] 2025/07/25 - 10:28:31 | 404 |       2.216µs |       127.0.0.1 | GET      "/api/v1/warehouses/122"
[GIN] 2025/07/25 - 10:28:31 | 200 |    1.106516ms |       127.0.0.1 | GET      "/api/v1/offers/227"
[GIN] 2025/07/25 - 10:28:31 | 200 |  101.708741ms |       127.0.0.1 | PUT      "/api/v1/offers/227"
[GIN] 2025/07/25 - 10:28:31 | 200 |    3.099171ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/07/25 - 10:28:31 | 200 |    2.988005ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/07/25 - 10:28:31 | 200 |    2.926451ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/07/25 - 10:28:31 | 200 |    5.501838ms |       127.0.0.1 | POST     "/api/v1/offers/public/filter"
[GIN] 2025/07/25 - 10:28:31 | 400 |     711.023µs |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/07/25 - 10:28:34 | 200 |    2.408601ms |       127.0.0.1 | GET      "/api/v1/offers"
