[GIN] 2025/08/05 - 14:35:20 | 201 |  223.722098ms |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/08/05 - 14:35:20 | 201 |   99.450743ms |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/08/05 - 14:35:20 | 200 |   56.136808ms |       127.0.0.1 | GET      "/api/v1/products"
[GIN] 2025/08/05 - 14:35:20 | 200 |    1.669893ms |       127.0.0.1 | GET      "/api/v1/products/567"
[GIN] 2025/08/05 - 14:35:21 | 200 |  148.290021ms |       127.0.0.1 | PUT      "/api/v1/products/567"
[GIN] 2025/08/05 - 14:35:21 | 400 |    1.011494ms |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/08/05 - 14:35:21 | 403 |    2.113476ms |       127.0.0.1 | PUT      "/api/v1/products/567"
[GIN] 2025/08/05 - 14:35:21 | 403 |    2.163447ms |       127.0.0.1 | DELETE   "/api/v1/products/567"
[GIN] 2025/08/05 - 14:35:21 | 201 |  106.115771ms |       127.0.0.1 | POST     "/api/v1/warehouses"
[GIN] 2025/08/05 - 14:35:21 | 201 |  141.049798ms |       127.0.0.1 | POST     "/api/v1/warehouses"
[GIN] 2025/08/05 - 14:35:21 | 200 |     897.515µs |       127.0.0.1 | GET      "/api/v1/warehouses"
[GIN] 2025/08/05 - 14:35:21 | 403 |     470.936µs |       127.0.0.1 | PUT      "/api/v1/warehouses/248"
[GIN] 2025/08/05 - 14:35:21 | 403 |      415.69µs |       127.0.0.1 | DELETE   "/api/v1/warehouses/248"
[GIN] 2025/08/05 - 14:35:21 | 201 |   153.51723ms |       127.0.0.1 | POST     "/api/v1/offers"
[GIN] 2025/08/05 - 14:35:21 | 201 |   218.59555ms |       127.0.0.1 | POST     "/api/v1/offers"
[GIN] 2025/08/05 - 14:35:21 | 200 |    1.285805ms |       127.0.0.1 | GET      "/api/v1/offers"
[GIN] 2025/08/05 - 14:35:21 | 200 |    1.236688ms |       127.0.0.1 | GET      "/api/v1/offers?filter=my"
[GIN] 2025/08/05 - 14:35:21 | 200 |    1.338848ms |       127.0.0.1 | GET      "/api/v1/offers?filter=others"
[GIN] 2025/08/05 - 14:35:21 | 200 |    4.314597ms |       127.0.0.1 | GET      "/api/v1/offers?filter=all"
[GIN] 2025/08/05 - 14:35:21 | 200 |    1.306872ms |       127.0.0.1 | GET      "/api/v1/offers"
[GIN] 2025/08/05 - 14:35:21 | 200 |    1.210786ms |       127.0.0.1 | GET      "/api/v1/offers?filter=invalid"
[GIN] 2025/08/05 - 14:35:21 | 200 |    1.780023ms |       127.0.0.1 | GET      "/api/v1/offers/public"
[GIN] 2025/08/05 - 14:35:21 | 403 |     477.257µs |       127.0.0.1 | PUT      "/api/v1/offers/448"
[GIN] 2025/08/05 - 14:35:21 | 403 |     437.404µs |       127.0.0.1 | DELETE   "/api/v1/offers/448"
[GIN] 2025/08/05 - 14:35:21 | 201 |  263.862725ms |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/08/05 - 14:35:21 | 200 |    4.101057ms |       127.0.0.1 | GET      "/api/v1/orders"
[GIN] 2025/08/05 - 14:35:21 | 200 |    2.160841ms |       127.0.0.1 | GET      "/api/v1/orders/121"
[GIN] 2025/08/05 - 14:35:22 | 200 |  376.055406ms |       127.0.0.1 | PUT      "/api/v1/orders/121/status"
[GIN] 2025/08/05 - 14:35:22 | 200 |    5.484147ms |       127.0.0.1 | GET      "/api/v1/offers/public"
[GIN] 2025/08/05 - 14:35:26 | 200 |      25.078µs |       127.0.0.1 | GET      "/"
[GIN] 2025/08/05 - 14:35:26 | 200 |    1.931021ms |       127.0.0.1 | GET      "/api/v1/offers/public"
[GIN] 2025/08/05 - 14:35:26 | 201 |  127.690387ms |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/08/05 - 14:35:27 | 201 |  148.786753ms |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/08/05 - 14:35:27 | 200 |    4.850525ms |       127.0.0.1 | GET      "/api/v1/products"
[GIN] 2025/08/05 - 14:35:27 | 200 |     589.911µs |       127.0.0.1 | GET      "/api/v1/products/569"
[GIN] 2025/08/05 - 14:35:27 | 200 |  127.324034ms |       127.0.0.1 | PUT      "/api/v1/products/569"
